,value
408,3.353335069243384
409,2.005616305177992
410,3.1547814333979494
411,2.1574801141448745
412,2.9546527293506863
413,0.9704914410642841
414,2.9673071929007815
415,2.825705173822751
416,1.0246589131779786
417,2.092573692679852
418,2.4276730880986266
419,2.3198294638071224
420,1.9005949835109461
421,2.68715850404656
422,3.4729530492685936
423,3.35275344613884
424,2.6597133270374336
425,1.6466811379076975
426,3.5808088569474976
427,3.557653906869826
428,1.74903255434086
429,3.1362544512285213
430,1.3032667968458584
431,2.6961023677035505
432,0.9236731318302616
433,3.042598911504749
434,3.529044812852935
435,1.5770662518806255
436,3.3872293652566356
437,2.3469557219579316
438,3.426498134194148
439,2.8906495422971448
440,3.2295359460715005
441,4.009551235164212
442,3.172292686672483
443,4.301218253683515
444,1.9961219909140049
445,3.840812410719984
446,3.468336846280841
447,1.223250014687248
448,3.378951223927411
449,1.3795618517761468
450,2.044448165599737
451,1.8026051562117003
452,3.3394400005570923
453,2.0684727680638586
454,3.3817088437604794
455,2.0433316107871935
456,3.2474684096965722
457,2.771830463608061
458,2.761813941168646
459,2.431621633048604
460,2.7956085927264462
461,1.8751825469474086
462,1.9198579200966428
463,2.135738790846025
464,1.828609097045426
465,1.5389543140735538
466,4.113351917027369
467,2.0192701501400756
468,4.178855560244349
469,1.7337620471909683
470,3.9767146570062604
471,3.6632279602809836
472,2.3422153785111615
473,2.7725563734483734
474,3.418865587376816
475,3.3727799110105288
476,2.474056277139362
477,3.7165672443023294
478,2.243048614260581
479,3.2230507123869674
480,3.43103160091877
481,3.652284647200182
482,1.9603177928595827
483,3.530675473159489
484,3.3522537528726337
485,2.398181728164692
486,2.844332376180051
487,2.222529720599576
488,3.17061797712423
489,3.1298432339875815
490,1.1755180662999896
491,0.952977573076468
492,2.0776051562117
493,1.1620238415222686
494,2.3812110434787304
495,1.1204079071043902
496,2.9448756600032855
497,1.9288163539489864
498,3.0737915352738794
499,3.4875281185367717
500,2.154344754632659
501,1.9950953626110683
502,2.789909451073622
503,1.208113091353545
504,2.8641033161604685
505,3.6787727252772973
506,3.6557903187504897
507,1.008161526012506
508,3.4747452894593076
509,3.3141097371340758
510,1.9393967903922449
511,2.7849315452604406
512,2.5553036048997795
513,2.312726175185976
514,2.665375496139595
515,1.4354950056978717
516,3.017708877823119
517,1.0842410608523951
518,3.131434460321625
519,1.0109328826609112
520,2.99718940104568
521,1.154161210022775
522,2.5787239082461193
523,2.3780494495672726
524,1.5892097922004775
525,2.890279396779384
526,2.2911480950290786
527,3.392897813133434
528,2.8961929040920733
529,2.084582615706504
530,2.757326764250317
531,1.8470237561075753
532,2.1812750234368163
533,2.1124679424397175
534,2.466772090417486
535,0.6224435728123064
536,2.512852436032124
